Code_du_departement;Libelle_du_departement;Candidat_gagnant_2017;Candidat_gagnant_2022;Nombre_voix_2017;Nombre_voix_2022;Taux_voix_exp_2017;Taux_voix_exp_2022;Inscrits_2017;Inscrits_2022;Abstentions_2017;Abstentions_2022;Votants_2017;Votants_2022;Blancs_2017;Blancs_2022;Nuls_2017;Nuls_2022;Exprimes_2017;Exprimes_2022;Taux_chomage_2017;Taux_chomage_2018;Taux_chomage_2019;Taux_chomage_2020;Taux_chomage_2021;Taux_chomage_2022;Effectifs_infirmiers_2017;Effectifs_infirmiers_2018;Effectifs_infirmiers_2019;Effectifs_infirmiers_2020;Effectifs_infirmiers_2021;Effectifs_infirmiers_2022;Effectifs_medecins_generalistes_2017;Effectifs_medecins_generalistes_2018;Effectifs_medecins_generalistes_2019;Effectifs_medecins_generalistes_2020;Effectifs_medecins_generalistes_2021;Effectifs_medecins_generalistes_2022;Moins_de_19_ans_2017;Moins_de_19_ans_2018;Moins_de_19_ans_2019;Moins_de_19_ans_2020;Moins_de_19_ans_2021;Moins_de_19_ans_2022;_20_a_39_ans_2017;_20_a_39_ans_2018;_20_a_39_ans_2019;_20_a_39_ans_2020;_20_a_39_ans_2021;_20_a_39_ans_2022;_40_a_59_ans_2017;_40_a_59_ans_2018;_40_a_59_ans_2019;_40_a_59_ans_2020;_40_a_59_ans_2021;_40_a_59_ans_2022;_60_a_74_ans_2017;_60_a_74_ans_2018;_60_a_74_ans_2019;_60_a_74_ans_2020;_60_a_74_ans_2021;_60_a_74_ans_2022;_75_ans_et_plus_2017;_75_ans_et_plus_2018;_75_ans_et_plus_2019;_75_ans_et_plus_2020;_75_ans_et_plus_2021;_75_ans_et_plus_2022;Nombre_habitants_2017;Nombre_habitants_2018;Nombre_habitants_2019;Nombre_habitants_2020;Nombre_habitants_2021;Nombre_habitants_2022;Nombre_hommes_2017;Nombre_hommes_2018;Nombre_hommes_2019;Nombre_hommes_2020;Nombre_hommes_2021;Nombre_hommes_2022;Nombre_femmes_2017;Nombre_femmes_2018;Nombre_femmes_2019;Nombre_femmes_2020;Nombre_femmes_2021;Nombre_femmes_2022
65;Hautes-Pyr���n���es;MACRON_Emmanuel;MACRON_Emmanuel;35002;33692;25,08;24.98;177498;177443;34243;39595;143255;137848;2420;2064;1294;896;139541;134888;10,3;9,7;9,3;9,1;8,7;8;579;574;596;601;605;616;219;206;204;193;188;185;46579;46673;46597;46080;45666;45349;43043;43322;43590;44216;44606;44901;61966;61371;60592;59781;59515;58959;46588;47449;48227;49010;49862;50145;30354;30376;30561;30701;30494;31050;228530;229191;229567;229788;230143;230404;109927;110172;110536;110827;111064;111255;118603;119019;119031;118961;119079;119149
66;Pyr���n���es-Orientales;LE PEN_Marine;LE PEN_Marine;80169;87930;30,05;32.74;347914;362076;73984;87704;273930;274372;4563;3528;2580;2276;266787;268568;14,3;14,1;13,6;12,6;12,3;11,6;1289;1301;1313;1312;1314;1301;501;493;507;498;488;483;104276;104440;105202;105134;104587;104312;94922;94292;94518;94208;94162;94186;122725;122865;122835;123424;124250;124651;94053;95475;96735;99498;101387;102055;58476;59285;60689;60501;61265;63175;474452;476357;479979;482765;485651;488379;225328;226418;228134;229129;230321;231456;249124;249939;251845;253636;255330;256923
67;Bas-Rhin;LE PEN_Marine;MACRON_Emmanuel;147595;177069;24,69;30.7;766548;778712;154353;190224;612195;588488;9796;8335;4613;3434;597786;576719;8,1;7,5;7,1;7;6,8;6,2;1476;1538;1590;1650;1628;1645;1120;1138;1141;1145;1141;1145;263421;264503;262031;261999;261488;261617;285907;287419;290095;291811;292893;293146;306663;305980;304896;304346;304599;304864;173691;178528;183997;189691;196163;199589;95877;97122;99038;100226;99569;102561;1125559;1133552;1140057;1148073;1154712;1161777;547552;551193;554619;558656;561879;565155;578007;582359;585438;589417;592833;596622
68;Haut-Rhin;LE PEN_Marine;MACRON_Emmanuel;109704;107248;27,16;27.85;526189;531738;110395;137861;415794;393877;9073;6382;2811;2386;403910;385109;9;8,3;8;8;7,8;6,9;729;754;780;820;845;871;574;560;558;550;531;528;180585;179434;179574;177923;176232;174493;175742;174826;173820;173599;172984;172261;214027;212390;211031;210065;209331;208623;124654;127960;131260;135009;138704;140417;69022;70371;71401;71246;70385;72702;764030;764981;767086;767842;767636;768496;374414;374700;375928;376731;376841;377267;389616;390281;391158;391111;390795;391229
69;Rh���ne;MACRON_Emmanuel;MACRON_Emmanuel;236151;278243;26,58;30.61;1155668;1181226;249139;255580;906529;925646;10643;12708;7402;3925;888484;909013;8,4;8;7,6;7,3;7,1;6,4;2427;2502;2576;2566;2622;2572;1594;1624;1649;1666;1682;1675;474630;480311;477028;475784;476739;478127;519880;522227;529610;529554;531700;533360;449456;452894;457565;459354;463313;466863;248744;251471;256446;260079;264271;265641;150609;152621;155098;158666;159403;164634;1843319;1859524;1875747;1883437;1895426;1908625;886273;894109;902305;906819;912774;919203;957046;965415;973442;976618;982652;989422
70;Haute-Sa���ne;LE PEN_Marine;LE PEN_Marine;43753;46618;31,36;34.6;179214;177715;34976;39039;144238;138676;2820;2364;1896;1573;139522;134739;8,6;8;7,7;7,1;6,7;6,4;274;288;294;297;307;313;182;179;171;175;168;171;55110;54623;54564;54226;53228;52473;47196;46897;46341;46060;45739;45431;65223;64494;63626;63152;62761;62194;44825;45797;46454;47276;47939;47976;24305;24207;24328;23887;23826;24545;236659;236018;235313;234601;233493;232619;116497;116168;115830;115458;114813;114264;120162;119850;119483;119143;118680;118355
71;Sa���ne-et-Loire;LE PEN_Marine;MACRON_Emmanuel;75257;82633;24,28;27.61;406418;402992;86755;95369;319663;307623;6844;5923;2870;2400;309949;299300;8,3;7,8;7,5;7;6,6;6,4;737;781;809;812;841;843;374;372;360;340;332;328;121334;120524;120605;119364;118029;116910;107273;106092;105652;105136;104809;104309;147628;145993;143671;142651;141508;140320;109115;111543;113018;114830;116196;115939;68245;68033;68547;69082;68925;71048;553595;552185;551493;551063;549467;548526;268754;268077;267676;267937;267348;267094;284841;284108;283817;283126;282119;281432
72;Sarthe;FILLON_François;MACRON_Emmanuel;92261;83876;28,61;28.24;405440;411308;73578;105454;331862;305854;7288;6694;2132;2098;322442;297062;9;8,6;8,3;8,2;7,7;7,1;401;416;438;461;490;525;349;346;333;315;321;322;140684;139292;138884;137645;136128;135275;120200;119741;119787;120127;120276;120024;148473;147316;146120;145416;144768;144057;97083;99654;101358;103365;105275;105646;60066;59960;60263;60440;60621;62051;566506;565963;566412;566993;567068;567053;275500;275361;275616;275958;276072;276200;291006;290602;290796;291035;290996;290853
73;Savoie;MACRON_Emmanuel;MACRON_Emmanuel;55871;64689;23,13;26.26;310256;320709;62767;68929;247489;251780;4226;3931;1704;1491;241559;246358;7,3;6,8;6,4;6,4;6,5;5,3;515;531;551;572;595;606;446;450;444;458;470;475;101386;101084;101399;101734;102038;102244;97709;98419;98123;99305;99061;99237;118959;118863;118933;118813;119271;119416;71858;73569;75402;77117;78791;79699;41262;41789;42577;42781;42738;44276;431174;433724;436434;439750;441899;444872;211107;212344;213723;215660;216652;218024;220067;221380;222711;224090;225247;226848
74;Haute-Savoie;FILLON_François;MACRON_Emmanuel;105050;130422;25,41;30.53;540031;565665;116267;129384;423764;436281;7726;6918;2551;2224;413487;427139;6,8;6,5;6,2;6,4;6,5;5,5;606;636;655;664;674;688;686;677;700;710;711;717;200499;202232;205999;206680;207610;209281;208091;208236;205916;209281;210399;211357;222608;225818;228638;229535;232276;234507;116120;118565;121974;124221;126761;128343;60042;61848;63567;65489;66629;69527;807360;816699;826094;835206;843675;853015;396367;401731;406528;410764;415191;419867;410993;414968;419566;424442;428484;433148
75;Paris;MACRON_Emmanuel;MACRON_Emmanuel;375006;372820;34,83;35.34;1301637;1368025;210200;296668;1091437;1071357;10627;11028;4253;5267;1076557;1055062;7,4;7;6,5;6,5;6,5;5,8;1491;1530;1561;1571;1566;1497;1766;1787;1820;1813;1800;1773;422752;417262;410686;405280;399063;393712;736749;733438;726942;715136;708931;704194;550917;545609;545962;539898;536725;531569;309022;309851;311637;312314;312543;308926;168086;169441;170196;173278;173842;179301;2187526;2175601;2165423;2145906;2131104;2117702;1029185;1023850;1019593;1008889;1001421;994423;1158341;1151751;1145830;1137017;1129683;1123279
76;Seine-Maritime;LE PEN_Marine;MACRON_Emmanuel;170945;179698;24,9;27.95;881658;879252;177294;222147;704364;657105;14085;10982;3753;3158;686526;642965;10,6;10,1;9,4;9,1;8,6;7,9;1233;1302;1352;1400;1479;1520;980;966;973;962;965;957;311142;310600;307407;305272;302786;300330;300856;300839;301326;300887;300835;300350;322287;319410;316697;312908;310669;308809;205818;211282;215524;219642;222948;223287;114275;113752;114679;116030;117096;121510;1254378;1255883;1255633;1254739;1254334;1254286;602660;603954;604186;604167;604286;604611;651718;651929;651447;650572;650048;649675
77;Seine-et-Marne;MACRON_Emmanuel;M���LENCHON_Jean-Luc;157373;170969;23,11;25.87;881558;899303;183302;223172;698256;676131;13074;11057;4289;4145;680893;660929;7,5;7,3;6,9;6,9;7,2;6,7;1053;1082;1112;1149;1184;1204;774;760;743;733;717;711;392026;393043;393446;391431;390229;389523;358391;358280;356822;358578;359555;360526;381646;382008;383444;384056;385073;385885;186117;191412;197468;202623;207929;210359;85817;87773;90017;91948;93293;98096;1403997;1412516;1421197;1428636;1436079;1444389;683444;687763;692027;695444;698763;702314;720553;724753;729170;733192;737316;742075
78;Yvelines;MACRON_Emmanuel;MACRON_Emmanuel;219061;246062;28,86;33.41;951148;961245;177485;211708;773663;749537;10841;9601;3896;3430;758926;736506;7;6,9;6,5;6,4;6,7;6,4;734;723;755;775;802;841;904;901;887;880;860;868;388195;388835;390066;387059;386469;386190;348287;346011;343618;345225;344871;344940;393546;395070;396389;394362;394424;394538;200398;201779;206302;208723;211896;211766;107840;109703;111832;114354;115192;119878;1438266;1441398;1448207;1449723;1452852;1457312;699583;701591;705320;705390;706624;708633;738683;739807;742887;744333;746228;748679
79;Deux-S���vres;MACRON_Emmanuel;MACRON_Emmanuel;57826;68446;26,97;32.94;272404;273214;50961;59403;221443;213811;4631;3839;2414;2168;214398;207804;7,2;6,8;6,2;6;5,6;5,3;374;389;400;407;420;428;248;256;249;247;252;248;87366;86639;86985;86209;85413;84715;75325;74876;74183;74110;73728;73551;101829;101341;100485;100068;99686;99339;67157;68935;70169;71867;73475;73706;42674;43008;43056;42227;42126;42831;374351;374799;374878;374481;374428;374142;183000;183405;183479;183547;183581;183552;191351;191394;191399;190934;190847;190590
80;Somme;LE PEN_Marine;LE PEN_Marine;97081;98024;30,37;32.79;409014;410056;80489;102687;328525;307369;6124;4837;2765;3614;319636;298918;11,3;10,8;10;9,4;9,1;8,7;651;664;686;693;718;735;487;488;482;487;493;488;141940;140106;137387;137272;135528;133870;136520;135482;136707;135172;134732;134036;148753;147183;145971;144084;143210;142448;94670;97084;99162;100895;101843;101454;50560;50807;51332;51325;51559;53470;572443;570662;570559;568748;566872;565278;277901;276866;276879;276034;275097;274168;294542;293796;293680;292714;291775;291110
81;Tarn;LE PEN_Marine;LE PEN_Marine;52402;56543;22,42;24.6;291194;298178;50507;62818;240687;235360;4296;3451;2634;2067;233757;229842;10;9,6;8,9;8,2;8;7,8;926;948;966;971;984;973;329;321;317;312;296;295;86518;86150;86209;85576;84958;84364;75696;75557;75570;75277;75254;75368;104249;104029;103443;102743;102554;102436;72862;74408;75826;77679;79333;79714;48565;48452;48796;49791;50229;51554;387890;388596;389844;391066;392328;393436;186590;187317;188002;188705;189323;189881;201300;201279;201842;202361;203005;203555
82;Tarn-et-Garonne;LE PEN_Marine;LE PEN_Marine;39183;42183;26,69;28.93;183350;188706;32631;39625;150719;149081;2551;2169;1367;1092;146801;145820;10,8;10,4;9,6;9;9,2;8,6;540;560;577;588;580;574;200;203;200;201;194;196;63172;62908;63612;63608;63374;63114;53361;52871;52408;52594;52530;52867;69988;69860;70092;70262;70575;70807;44786;46167;46997;48084;49193;49506;27042;27318;27560;27768;27832;28592;258349;259124;260669;262316;263504;264886;126252;126824;127677;128327;128950;129702;132097;132300;132992;133989;134554;135184
83;Var;LE PEN_Marine;LE PEN_Marine;186376;183287;30,43;30.61;794777;820904;169107;211212;625670;609692;9858;7803;3374;3159;612438;598730;10,2;9,8;9,1;8,5;8,1;7,4;2866;2945;3016;3050;3012;2976;970;962;953;952;929;946;225082;225566;226819;225243;224276;224541;216385;216657;216973;219523;221506;222508;278203;278368;278856;278463;279358;279694;210234;213976;216148;220155;223713;224340;128836;133130;137915;141805;145274;150991;1058740;1067697;1076711;1085189;1094127;1102074;508079;512983;517135;521051;525238;528992;550661;554714;559576;564138;568889;573082
84;Vaucluse;LE PEN_Marine;LE PEN_Marine;95937;89413;30,55;29.43;402134;411607;80585;101650;321549;309957;5589;4350;1915;1742;314045;303865;12;11,6;11;10,3;10,1;9,5;1120;1151;1182;1198;1184;1146;463;464;466;464;459;452;134438;133502;133918;132417;131854;131359;120540;120181;119385;119523;119015;118455;149002;147575;147008;146620;146375;145742;99208;101238;102496;103815;104824;105182;56291;57297;58662;59566;60632;62577;559479;559793;561469;561941;562700;563315;268660;268461;269306;269863;270280;270516;290819;291332;292163;292078;292420;292799
85;Vend���e;MACRON_Emmanuel;MACRON_Emmanuel;109989;149587;26,26;35.64;514461;550963;82887;120547;431574;430416;8280;7312;4465;3395;418829;419709;7,1;6,7;6,5;6,5;5,9;5,2;610;626;658;673;701;723;445;439;425;434;442;431;157879;157453;159489;159544;158596;157694;136320;135542;134440;133938;133939;133999;176598;176879;177039;177826;178793;179800;130514;135253;137950;142876;146973;148136;73936;74864;76524;78521;80269;84492;675247;679991;685442;692705;698570;704121;329501;332006;334651;338518;341340;344057;345746;347985;350791;354187;357230;360064
86;Vienne;MACRON_Emmanuel;MACRON_Emmanuel;59146;67831;24,88;29.28;307014;306011;62127;68304;244887;237707;4741;4053;2398;2002;237748;231652;7,6;7,4;6,9;6,6;6,4;5,9;376;386;381;396;422;432;371;373;367;374;375;384;103451;103034;101159;101593;101503;100948;101111;101295;102996;103292;102990;103220;110957;109725;109135;108502;108269;108025;74612;76662;78127;79214;80586;80703;46745;46870;47018;46731;46813;47972;436876;437586;438435;439332;440161;440868;210854;211284;211793;211880;212316;212678;226022;226302;226642;227452;227845;228190
87;Haute-Vienne;MACRON_Emmanuel;MACRON_Emmanuel;55577;54951;26,67;27.19;266322;263742;50620;55484;215702;208258;4478;3787;2810;2353;208414;202118;8,7;8,2;7,7;7,3;6,9;6,5;633;660;696;717;721;723;389;391;383;369;359;358;81286;80528;79244;78763;78033;77196;79617;79497;80241;80301;79992;79748;97917;96567;95361;94461;93672;93072;70980;72226;73010;74243;75325;74823;44626;44381;44503;44355;44465;45887;374426;373199;372359;372123;371487;370726;178405;177678;177412;177625;177302;176894;196021;195521;194947;194498;194185;193832
88;Vosges;LE PEN_Marine;LE PEN_Marine;63924;65646;29,12;32.23;282612;277913;56393;68914;226219;208999;4720;3431;1997;1874;219502;203694;10;9,4;8,9;8,3;8;7,4;390;406;425;436;441;468;297;296;297;290;285;283;81961;80989;80347;78912;77239;75879;73979;73383;72727;72253;71723;70996;100137;99007;97115;95255;94149;92972;70611;72239;73794;75560;76681;76494;40985;40494;40516;40417;40123;41523;367673;366112;364499;362397;359915;357864;178763;178205;177564;176519;175443;174476;188910;187907;186935;185878;184472;183388
89;Yonne;LE PEN_Marine;LE PEN_Marine;52640;55164;28,52;31.25;241918;237957;52739;57549;189179;180408;3404;2715;1222;1182;184553;176511;8,7;8,2;7,8;7,3;7,1;6,7;424;418;422;423;435;438;188;181;186;186;177;172;77718;76966;76782;75790;74688;73506;67286;66591;65694;65474;64891;64256;90056;89056;87604;86749;86127;85612;65004;66656;67386;68033;68743;68261;38227;38235;38241;38110;38171;39382;338291;337504;335707;334156;332620;331017;164833;164249;163479;162813;162111;161328;173458;173255;172228;171343;170509;169689
90;Territoire de Belfort;LE PEN_Marine;LE PEN_Marine;19249;19061;26,89;27.37;95340;93724;21608;22238;73732;71486;1400;1242;758;590;71574;69654;9,6;9,2;9;9,1;9;8,2;143;151;153;157;163;170;101;97;103;102;96;96;33980;34528;34367;33730;32989;32219;35074;33435;33142;32571;32186;31863;37578;37453;36926;36345;36149;35730;22991;23425;23880;24233;24484;24537;12999;13011;13003;13241;13168;13568;142622;141852;141318;140120;138976;137917;70795;70500;70274;69545;69002;68512;71827;71352;71044;70575;69974;69405
91;Essonne;MACRON_Emmanuel;M���LENCHON_Jean-Luc;163389;167310;26,21;28.12;795227;799500;157440;192200;637787;607300;10240;8954;4065;3405;623482;594941;7,2;7;6,6;6,7;6,7;6,4;858;886;924;973;1002;998;729;708;712;717;722;692;356565;356240;356326;353924;353229;352698;336198;334101;332142;334377;334605;335155;347644;346512;346586;345360;344646;343667;167806;170319;175448;178127;181855;183079;87917;89469;91157;94330;94557;97820;1296130;1296641;1301659;1306118;1308892;1312419;634413;635012;637449;639827;641551;643628;661717;661629;664210;666291;667341;668791
92;Hauts-de-Seine;MACRON_Emmanuel;MACRON_Emmanuel;256687;287494;32,3;37.11;986730;997667;176715;208790;810015;788877;12689;11841;2568;2294;794758;774742;7,1;6,9;6,5;6,4;6,6;5,9;681;706;700;713;743;770;974;959;936;932;923;920;402708;404893;407745;402101;399770;398146;461396;463749;456431;457041;457441;457931;426784;429758;433477;434343;436639;437983;200869;203771;209354;212763;217222;219125;117549;116949;117350;119965;120098;123905;1609306;1619120;1624357;1626213;1631170;1637090;765837;770284;773208;774623;776821;779373;843469;848836;851149;851590;854349;857717
93;Seine-Saint-Denis;MÉLENCHON_Jean-Luc;M���LENCHON_Jean-Luc;184037;266632;34,03;49.09;766302;793929;210699;239927;555603;554002;10304;7607;4422;3244;540877;543151;12;11,7;10,9;10,6;10,9;10,2;839;882;885;909;930;951;840;836;818;807;779;759;473039;477029;482256;481326;482291;482107;471049;472117;466414;468566;469947;472292;413251;413404;418395;421163;423951;426987;182706;187119;193328;198676;202924;204532;83066;83008;84510;85691;85743;87727;1623111;1632677;1644903;1655422;1664856;1673645;798724;802642;808994;816324;821005;825538;824387;830035;835909;839098;843851;848107
94;Val-de-Marne;MACRON_Emmanuel;M���LENCHON_Jean-Luc;172202;192427;28,33;32.67;785540;796086;164068;195409;621472;600677;9925;8501;3760;3118;607787;589058;8,4;8,1;7,5;7,4;7,7;7,2;780;814;854;892;920;919;813;804;793;800;808;810;359413;361739;363674;359613;359029;358920;388307;392938;391237;391400;392985;394535;366355;366200;368834;367580;368442;369562;176682;179117;185187;189325;193539;194560;97169;96919;98192;100054;99786;102827;1387926;1396913;1407124;1407972;1413781;1420404;667468;671618;676960;678047;681230;684515;720458;725295;730164;729925;732551;735889
95;Val-d'Oise;MACRON_Emmanuel;M���LENCHON_Jean-Luc;138993;175666;25,31;33.17;730497;733529;167560;192853;562937;540676;10090;8027;3688;3064;549159;529585;9,5;9,2;8,5;8,5;8,7;8,1;801;813;865;915;954;973;703;693;673;673;668;647;351331;356597;360037;356934;357476;358589;328428;328957;327422;327413;328166;328905;322682;322940;324670;323792;325143;326706;154421;158350;164650;169170;172902;174280;71756;71737;72895;74495;74830;77991;1228618;1238581;1249674;1251804;1258517;1266471;595911;601387;607316;609521;613025;617210;632707;637194;642358;642283;645492;649261
96;Corse-du-Sud;LE PEN_Marine;LE PEN_Marine;20857;20139;28,62;29.25;108781;113918;33758;42366;75023;71552;1208;1130;948;1561;72867;68861;9,1;8,3;7,7;7,7;6,5;5,8;491;504;521;535;536;543;133;138;132;135;140;136;31171;31894;32361;32605;32708;33021;34842;34697;34039;34415;33905;33518;44325;43747;43830;44280;44734;45062;29237;29209;29552;30336;31065;31385;17674;18306;18725;19178;19460;19938;157249;157853;158507;160814;161872;162924;76152;76225;76531;77757;78261;78740;81097;81628;81976;83057;83611;84184
97;Haute-Corse;LE PEN_Marine;LE PEN_Marine;22183;21998;27,22;28.02;124862;129114;40894;48263;83968;80851;1506;1463;954;877;81508;78511;9,7;9,4;8,5;7,9;7;6,4;644;664;686;712;711;704;143;140;141;144;149;152;36689;37126;36975;36319;36293;36231;41322;42227;42502;42626;42620;42869;48079;48631;48796;48880;49259;49482;32659;33288;33595;34619;35458;35934;18940;19429;20065;20443;20855;21390;177689;180701;181933;182887;184485;185906;86784;88480;89114;89278;90002;90670;90905;92221;92819;93609;94483;95236